id,created_at,client_id,channel,text,category,confidence,escalate,draft_reply,error
1,2026-06-30T09:10:00+07:00,cl_001,email,"Не прошла оплата картой, деньги списались, но заказ не подтверждён.",billing,high,false,"Спасибо за обращение. Мы проверим статус оплаты и заказа. Если платёж действительно списался, передадим информацию в профильный отдел и вернёмся с ответом в ближайшее время.",""
2,2026-06-30T09:12:00+07:00,cl_002,chat,"Подскажите, как изменить адрес доставки после оформления заказа?",support,high,false,"Спасибо за вопрос. Мы подскажем, можно ли изменить адрес доставки на вашем этапе обработки заказа. Пожалуйста, пришлите номер заказа для проверки.",""
3,2026-06-30T09:14:00+07:00,cl_003,form,"Заказ пришёл с повреждённой упаковкой, внутри один товар помят.",complaint,high,false,"Сожалеем о ситуации. Мы зафиксируем обращение по качеству доставки и поможем оформить дальнейшие действия. Пожалуйста, приложите фото повреждения, если это возможно.",""
4,2026-06-30T09:16:00+07:00,cl_004,email,"Не могу войти в личный кабинет, пароль не подходит, хотя я уверен, что ввожу верно.",support,high,false,"Спасибо за обращение. Мы поможем восстановить доступ к личному кабинету. Пожалуйста, используйте процедуру сброса пароля или сообщите, если потребуется дополнительная проверка.",""
5,2026-06-30T09:18:00+07:00,cl_005,chat,"Почему с меня дважды списали оплату за один и тот же заказ?",billing,high,false,"Спасибо за сообщение. Мы проверим возможное двойное списание и статус заказа. После проверки сообщим, что произошло, и подскажем дальнейшие шаги.",""
6,2026-06-30T09:20:00+07:00,cl_006,form,"Товар не соответствует описанию на сайте.",complaint,high,false,"Спасибо за обращение. Мы передадим информацию по несоответствию товара описанию и уточним возможные варианты решения. Пожалуйста, укажите номер заказа.",""
7,2026-06-30T09:22:00+07:00,cl_007,email,"Где посмотреть трек-номер посылки?",support,high,false,"Спасибо за вопрос. Мы подскажем, где найти трек-номер, и при необходимости уточним статус отправления. Если нужно, отправьте номер заказа.",""
8,2026-06-30T09:24:00+07:00,cl_008,chat,"Прошу вернуть деньги за отменённый заказ, возврат уже обещали, но он не пришёл.",billing,high,false,"Спасибо за обращение. Мы проверим статус возврата и сроки зачисления средств. Если возврат уже был оформлен, уточним, на каком этапе он находится.",""
9,2026-06-30T09:26:00+07:00,cl_009,form,"После обновления приложения перестала работать кнопка оформления заказа.",support,high,false,"Спасибо за сообщение. Мы проверим, что могло повлиять на работу оформления заказа после обновления. Пожалуйста, укажите версию приложения и устройство.",""
10,2026-06-30T09:28:00+07:00,cl_010,email,"Менеджер не отвечает уже три дня, это очень неудобно.",complaint,medium,false,"Сожалеем, что ответ задержался. Мы передадим обращение на контроль и постараемся ускорить реакцию. Спасибо, что сообщили о ситуации.",""
11,2026-06-30T09:30:00+07:00,cl_011,chat,"Не понимаю, как применить промокод к заказу.",support,high,false,"Спасибо за вопрос. Мы подскажем, как применить промокод при оформлении заказа. Если промокод не срабатывает, пришлите его текст для проверки.",""
12,2026-06-30T09:32:00+07:00,cl_012,email,"Списали деньги за подписку, хотя я её отключил.",billing,high,false,"Спасибо за обращение. Мы проверим статус подписки и списания. Если отключение было оформлено корректно, уточним причину платежа и сообщим дальнейшие шаги.",""
13,2026-06-30T09:34:00+07:00,cl_013,form,"Сотрудник поддержки ответил грубо и не помог решить вопрос.",complaint,high,false,"Сожалеем, что вы столкнулись с таким сервисом. Мы зафиксируем жалобу и передадим её на проверку. Спасибо за подробности.",""
14,2026-06-30T09:36:00+07:00,cl_014,chat,"Как узнать, когда будет доставка моего заказа?",support,high,false,"Спасибо за вопрос. Мы поможем проверить ожидаемую дату доставки. Для уточнения отправьте номер заказа.",""
15,2026-06-30T09:38:00+07:00,cl_015,email,"За отмену заказа деньги так и не вернули, хотя прошло уже 10 дней.",billing,high,false,"Спасибо за обращение. Мы проверим статус возврата и причину задержки. После проверки сообщим, когда можно ожидать зачисление средств.",""
16,2026-06-30T09:40:00+07:00,cl_016,form,"Сайт зависает на этапе оплаты, ничего не получается оформить.",support,high,false,"Спасибо за сообщение. Мы проверим проблему на этапе оплаты и постараемся определить причину зависания. Пожалуйста, укажите браузер и устройство.",""
17,2026-06-30T09:42:00+07:00,cl_017,email,"Получил не тот размер товара, который заказывал.",complaint,high,false,"Сожалеем о неверной комплектации. Мы поможем оформить проверку по заказу и подскажем, как решить вопрос с заменой или возвратом.",""
18,2026-06-30T09:44:00+07:00,cl_018,chat,"Можно ли оплатить заказ при получении?",support,high,false,"Спасибо за вопрос. Мы уточним доступные способы оплаты для вашего заказа и подскажем, какие варианты доступны при получении.",""
19,2026-06-30T09:46:00+07:00,cl_019,form,"Платёж отклоняется без объяснения, хотя карта рабочая.",billing,high,false,"Спасибо за обращение. Мы проверим возможную причину отклонения платежа и подскажем, как повторить оплату. Если ошибка сохранится, потребуется дополнительная проверка.",""
20,2026-06-30T09:48:00+07:00,cl_020,email,"Не могу найти раздел с возвратом товара на сайте.",support,high,false,"Спасибо за вопрос. Мы подскажем, где находится раздел возврата товара, и при необходимости направим краткую инструкцию.",""
21,2026-06-30T09:50:00+07:00,cl_021,chat,"Уже второй раз переносите доставку, это неприемлемо.",complaint,high,false,"Сожалеем о повторном переносе доставки. Мы зафиксируем обращение и проверим причину задержки. После этого сообщим актуальную информацию.",""
22,2026-06-30T09:52:00+07:00,cl_022,email,"С меня списали стоимость доставки, хотя на сайте было указано бесплатно.",billing,high,false,"Спасибо за обращение. Мы проверим условия доставки по вашему заказу и основание списания. Если обнаружится ошибка, передадим вопрос на исправление.",""
